id,type,address,number,postal_code,municipality,province,location,public,available,hours,Latitude,Longitude
9965.0,,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8549686,4.358441
9966.0,,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8549686,4.358441
9967.0,,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8549686,4.358441
9968.0,,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8549686,4.358441
9969.0,,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8549686,4.358441
9970.0,,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8549686,4.358441
9971.0,,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8549686,4.358441
9972.0,,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8549686,4.358441
9973.0,,Bvd du Jardin Botanique,15.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8549686,4.358441
9974.0,,Veurnestraat,317.0,8660.0,De,West-Vlaanderen,,,,,51.0925613,2.6157898
9975.0,,Veurnestraat,245.0,8660.0,De,West-Vlaanderen,,,,,51.0952472,2.6093641
9976.0,,Veldstraat,31.0,8660.0,De,West-Vlaanderen,,,,,51.6069885,5.1401051
9979.0,,Oude Vestenstraat,12.0,3300.0,Tienen,Vlaams-Brabant,,,,,50.8092383,4.935598499999999
9980.0,,Forumlaan,4.0,1020.0,Brussel,Bruxelles-Brussel,,,,,50.8972547,4.3547943
9981.0,,Pastoor Eralystraat,2.0,3012.0,Wilsele,Vlaams-Brabant,,,,,50.9283047,4.7248107
9983.0,,Dr.Vanderhoeydonckstraat,56.0,3560.0,Lummen,Limburg,,,,,50.98558329999999,5.200672099999999
9984.0,,Meldertsebaan,2.0,3560.0,Lummen,Limburg,,,,,50.9972189,5.1454409
9985.0,,Geneikenstraat,15.0,3560.0,Lummen,Limburg,,,,,51.0123956,5.2053898
9986.0,,Genebosstraat,86.0,3560.0,Lummen,Limburg,,,,,51.00953,5.229934999999999
9987.0,,Linkhoutstraat,196.0,3560.0,Lummen,Limburg,,,,,50.9657885,5.138211999999999
9988.0,,Sint-Janstraat,8.0,3560.0,Lummen,Limburg,,,,,50.972632,5.2259617
9989.0,,Pastoor Frederickxstraat,11.0,3560.0,Lummen,Limburg,,,,,50.9854762,5.1948174
9990.0,,Kerkstraat,12.0,3560.0,Lummen,Limburg,,,,,50.9853933,5.1897905
9991.0,,Gestelstraat,13.0,3560.0,Lummen,Limburg,,,,,51.02653859999999,5.2079596
9992.0,,Rue de l Eglise,1.0,6200.0,Châtelineau,Hainaut,,,,,50.41533,4.51986
9993.0,,Alfons Gossetlaan,40.0,1702.0,Groot-Bijgaarden,Vlaams-Brabant,,,,,50.8730097,4.275443699999999
9994.0,,Peter Benoitlaan,40.0,9800.0,Deinze,Oost-Vlaanderen,,,,,50.9873199,3.5282025
9995.0,,André Dumontlaan,129.0,3600.0,Genk,Limburg,,,,,50.9909426,5.536957
9996.0,,Halmstraat,9.0,3600.0,Genk,Limburg,,,,,51.0007136,5.5099874
9997.0,,Hooiplaats,14.0,3600.0,Genk,Limburg,,,,,50.96416439999999,5.4906093
9998.0,,Rustlaan,13.0,3600.0,Genk,Limburg,,,,,50.9515346,5.5003978
9999.0,,Chaussée de Bascoup,2.0,7140.0,Morlanwelz,Hainaut,,,,,50.4064101,4.2841125
10001.0,,Place Jean Guyot,45.0,6200.0,Châtelet,Hainaut,,,,,50.4046944,4.5260773
10002.0,,Avenue B De Constantinople,10.0,7000.0,Mons,Hainaut,,,,,50.4535901,3.959376
10003.0,,Grand  Route ,26.0,7040.0,Quévy-le-Grand,Hainaut,,,,,50.3770823,3.9669326
10004.0,,Courtenssstraat,1.0,8791.0,Beveren,West-Vlaanderen,,,,,50.8660101,3.344769
10005.0,,Devant les Hêtres,1.0,6890.0,Transinne,Luxembourg,,,,,50.0077286,5.2188064
10006.0,,Place du Tilleul,1.0,6769.0,Gérouville,Luxembourg,,Y,,,49.62076260000001,5.4270239
10007.0,,Rue de la Grihire,21.0,6769.0,Meix-devant-Virton,Luxembourg,,Y,,,49.5745976,5.4831188
10008.0,,Rue de la Comète,48.0,6769.0,Meix-devant-Virton,Luxembourg,,Y,,,49.5954321,5.5081087
10009.0,,Rue des Paquis,60.0,6769.0,Meix-devant-Virton,Luxembourg,,Y,,,49.5768131,5.4951569
10010.0,,Grand Place,1.0,6929.0,Haut-Fays,Luxembourg,,Y,,,50.0013897,5.017439299999999
10011.0,Appareil fixe-Vast apparaat,Allée des Marronniers,,6929.0,Daverdisse,Luxembourg,Façade,Oui-Ja,Oui-Ja,,50.0221482,5.1178716
10012.0,,Rue du Nouveau Monde,188.0,7700.0,Mouscron,Hainaut,,Y,,,50.7486274,3.2016626
10013.0,,Rue de Manin,95.0,7700.0,Mouscron,Hainaut,,Y,,,50.7430519,3.2138924
10014.0,,Rue Léopold,50.0,7700.0,Mouscron,Hainaut,,Y,,,50.744376,3.2210427
10015.0,,Rue Léopold,61.0,7700.0,Mouscron,Hainaut,,Y,,,50.7437281,3.2223901
10016.0,,Rue de Tournai,17.0,7700.0,Mouscron,Hainaut,,Y,,,50.7437639,3.2169276
10017.0,,Rue de Tournai,17.0,7700.0,Mouscron,Hainaut,,Y,,,50.7437639,3.2169276
10018.0,,Kloosterstraat,12.0,9520.0,Sint-Lievens-Houtem,Oost-Vlaanderen,,Y,,,50.9193003,3.8572129
10019.0,,Eugène Bekaertlaan,14.0,8790.0,Waregem,West-Vlaanderen,,,,,50.8676809,3.442291500000001
10020.0,,Staatsbaan,190.0,9870.0,Zulte,Oost-Vlaanderen,,,,,50.9202147,3.4408148
10021.0,,Maerslantstraat,1.0,8370.0,Blankenberge,West-Vlaanderen,,,,,51.3105538,3.1267546
10022.0,,Karel prinstenlaan,5.0,3900.0,Overpelt,Limburg,,,,,51.1970553,5.3970123
10023.0,,Rommersom,1.0,3320.0,Hoegaarden,Vlaams-Brabant,,,,,50.77947589999999,4.9107527
10024.0,,Bargiestraat,1.0,8900.0,Ieper,West-Vlaanderen,,,,,50.8857541,2.8735971
10025.0,,Place de la centrale,11.0,4400.0,Flémalle,Liège,,Y,,,50.6151036,5.463895600000001
10026.0,,Rue Louvrex,95.0,4000.0,Liège,Liège,,Y,,,50.6340255,5.5653103
10027.0,,Rue de Louvrex,95.0,4000.0,Liège,Liège,,Y,,,50.6340255,5.5653103
10028.0,,rue Sainte-Marie,11.0,4000.0,Liège,Liège,,Y,,,50.6323462,5.5660077
10029.0,,Rue Jean-Jaures,,4430.0,Ans,Liège,,Y,,,50.6550814,5.5293122
10030.0,,Rue Jean-Jaures,,4430.0,Ans,Liège,,Y,,,50.6550814,5.5293122
10031.0,,2ème avenue ,30.0,4040.0,Herstal,Liège,,Y,,,50.6949285,5.622565100000001
10032.0,,2ème Avenue,32.0,4040.0,Herstal,Liège,,Y,,,50.696304,5.618672699999999
10033.0,,Rue de Jupille,23.0,4020.0,Liège,Liège,,Y,,,50.6237994,5.6521596
10034.0,,Rue du Barrage,2.0,4100.0,Seraing,Liège,,Y,,,50.6001087,5.485951
10035.0,,Rue D Abhooz,82.0,4040.0,Herstal,Liège,,Y,,,50.6921334,5.6191303
10036.0,,Rue des hêtres,,4950.0,Waimes,Liège,,Y,,,50.4129423,6.103746
10037.0,,Industriezone,6.0,9770.0,Kruishoutem,Oost-Vlaanderen,,,,,50.9078405,3.4805969
10038.0,,Rue Pestelin,27.0,6238.0,Luttre,Hainaut,,Y,,,50.5140148,4.4003314
10039.0,,Kerkstraat,23.0,2330.0,Merksplas,Antwerpen,,,,,51.35949069999999,4.8632192
